ID,Var
1,"	58.4"
2,"	58.4"
3,"	66.5"
4,73.3
5,"	76.2"
6,"	78.4"
7,"	80"
8,"	79.6"
9,"	80.2"
10,"	75.6"
11,"	62"
12,"	56.2"
13,"	50.7"
14,"	59.8"
15,"	68.3"
16,"	69"
17,"	77.5"
18,"	78.8"
19,"	79.8"
20,"	79.3"
21,"	77.6"
22,"	72.7"
23,"	67.3"
24,"	55.5"
25,"	55.5"
26,"	58.1"
27,"	64.9"
28,"	67.4"
29,"	76"
30,"	80"
31,"	80.7"
32,"	80.1"
33,79.1
34,"	73.7"
35,"	66.7"
36,"	56.9"
37,"	58.6"
38,"	59.6"
39,"	62.2"
40,"	66.4"
41,"	73.5"
42,"	78.8"
43,"	82.2"
44,"	82.1"
45,79.9
46,"	72.5"
47,"	66.5"
48,"	56"
49,"	59.9"
50,"	57.4"
51,"	64.1"
52,"	71.9"
53,"	75.3"
54,"	79.5"
55,"	81"
56,"	81.4"
57,"	78.3"
58,"	71.7"
59,"	62.7"
60,"	63.7"
